epoch: 0	train ppl: 344.40160391212834	val ppl: 190.02547458650469	best val: 190.02547458650469	time (s) spent in epoch: 26.64887309074402
epoch: 1	train ppl: 139.37775083911623	val ppl: 147.7856678068454	best val: 147.7856678068454	time (s) spent in epoch: 26.54394769668579
epoch: 2	train ppl: 93.93349474746014	val ppl: 136.8926718617132	best val: 136.8926718617132	time (s) spent in epoch: 26.597537517547607
epoch: 3	train ppl: 70.08297757823752	val ppl: 137.08459388793293	best val: 136.8926718617132	time (s) spent in epoch: 26.611395835876465
epoch: 4	train ppl: 54.54116961214466	val ppl: 143.5566456572768	best val: 136.8926718617132	time (s) spent in epoch: 26.661919593811035
epoch: 5	train ppl: 43.425082665850375	val ppl: 155.0296631351369	best val: 136.8926718617132	time (s) spent in epoch: 26.346452236175537
epoch: 6	train ppl: 35.13161181305617	val ppl: 171.82315484019597	best val: 136.8926718617132	time (s) spent in epoch: 26.63368272781372
epoch: 7	train ppl: 28.699991566462007	val ppl: 193.37017491451527	best val: 136.8926718617132	time (s) spent in epoch: 26.867902755737305
epoch: 8	train ppl: 23.84759780125305	val ppl: 219.77469776452548	best val: 136.8926718617132	time (s) spent in epoch: 26.486722707748413
epoch: 9	train ppl: 20.082984234027123	val ppl: 247.24624127096823	best val: 136.8926718617132	time (s) spent in epoch: 26.258154153823853
epoch: 10	train ppl: 17.12724344171169	val ppl: 285.3868272637423	best val: 136.8926718617132	time (s) spent in epoch: 26.51522970199585
epoch: 11	train ppl: 14.856047547099841	val ppl: 326.94911528033185	best val: 136.8926718617132	time (s) spent in epoch: 26.67139196395874
epoch: 12	train ppl: 13.073295060658834	val ppl: 373.8174685546777	best val: 136.8926718617132	time (s) spent in epoch: 26.643195629119873
epoch: 13	train ppl: 11.622025617747074	val ppl: 421.1885886937866	best val: 136.8926718617132	time (s) spent in epoch: 26.836599588394165
epoch: 14	train ppl: 10.46663995643938	val ppl: 473.09927239505055	best val: 136.8926718617132	time (s) spent in epoch: 26.551121473312378
epoch: 15	train ppl: 9.484673730077382	val ppl: 538.2402941128837	best val: 136.8926718617132	time (s) spent in epoch: 26.58281111717224
epoch: 16	train ppl: 8.726480034850578	val ppl: 605.3926539794744	best val: 136.8926718617132	time (s) spent in epoch: 26.515415906906128
epoch: 17	train ppl: 8.042721261983782	val ppl: 683.39447211037	best val: 136.8926718617132	time (s) spent in epoch: 26.720293045043945
epoch: 18	train ppl: 7.477727723118498	val ppl: 777.3660577409586	best val: 136.8926718617132	time (s) spent in epoch: 26.402052879333496
epoch: 19	train ppl: 6.993069380239707	val ppl: 848.0090278995431	best val: 136.8926718617132	time (s) spent in epoch: 26.805395126342773
epoch: 20	train ppl: 6.597033874905461	val ppl: 957.9440151089931	best val: 136.8926718617132	time (s) spent in epoch: 26.647202253341675
epoch: 21	train ppl: 6.226676744255495	val ppl: 1071.2688515280024	best val: 136.8926718617132	time (s) spent in epoch: 31.498594760894775
epoch: 22	train ppl: 5.915394150214024	val ppl: 1150.8716314849366	best val: 136.8926718617132	time (s) spent in epoch: 31.659586191177368
epoch: 23	train ppl: 5.613831096074065	val ppl: 1274.1137089398621	best val: 136.8926718617132	time (s) spent in epoch: 31.396974325180054
epoch: 24	train ppl: 5.377023189193779	val ppl: 1395.8671005153383	best val: 136.8926718617132	time (s) spent in epoch: 30.619545698165894
epoch: 25	train ppl: 5.16944840209908	val ppl: 1533.9827820910884	best val: 136.8926718617132	time (s) spent in epoch: 30.53511881828308
epoch: 26	train ppl: 4.96812520820595	val ppl: 1708.0716627332695	best val: 136.8926718617132	time (s) spent in epoch: 28.91482162475586
epoch: 27	train ppl: 4.790465364434845	val ppl: 1843.5748345570003	best val: 136.8926718617132	time (s) spent in epoch: 26.976282119750977
epoch: 28	train ppl: 4.624963057458713	val ppl: 1985.753100077479	best val: 136.8926718617132	time (s) spent in epoch: 26.51916480064392
epoch: 29	train ppl: 4.471936970181117	val ppl: 2127.343138942311	best val: 136.8926718617132	time (s) spent in epoch: 26.298141717910767
epoch: 30	train ppl: 4.332026566146806	val ppl: 2280.450504953724	best val: 136.8926718617132	time (s) spent in epoch: 26.63453245162964
epoch: 31	train ppl: 4.208898251272394	val ppl: 2429.361082082331	best val: 136.8926718617132	time (s) spent in epoch: 26.772908687591553
epoch: 32	train ppl: 4.1038873565309615	val ppl: 2562.092497800482	best val: 136.8926718617132	time (s) spent in epoch: 26.615185499191284
epoch: 33	train ppl: 3.99544931311161	val ppl: 2777.9890433589585	best val: 136.8926718617132	time (s) spent in epoch: 26.185063362121582
epoch: 34	train ppl: 3.901514582555567	val ppl: 2960.0614605799815	best val: 136.8926718617132	time (s) spent in epoch: 26.50106406211853
epoch: 35	train ppl: 3.8057995635957775	val ppl: 3103.6018660841396	best val: 136.8926718617132	time (s) spent in epoch: 26.864049196243286
epoch: 36	train ppl: 3.720408381702299	val ppl: 3400.535733923318	best val: 136.8926718617132	time (s) spent in epoch: 27.086141109466553
epoch: 37	train ppl: 3.639172537911188	val ppl: 3549.730119992623	best val: 136.8926718617132	time (s) spent in epoch: 26.708926916122437
epoch: 38	train ppl: 3.5737805127762114	val ppl: 3663.6924938161615	best val: 136.8926718617132	time (s) spent in epoch: 26.637459754943848
epoch: 39	train ppl: 3.4998060463905345	val ppl: 3886.079277996951	best val: 136.8926718617132	time (s) spent in epoch: 26.77300214767456
