epoch: 0	train ppl: 425.9072316105594	val ppl: 242.73843314247492	best val: 242.73843314247492	time (s) spent in epoch: 55.65287399291992
epoch: 1	train ppl: 179.3092625890873	val ppl: 178.0935018489172	best val: 178.0935018489172	time (s) spent in epoch: 55.510955810546875
epoch: 2	train ppl: 126.47626437313592	val ppl: 155.67359415537996	best val: 155.67359415537996	time (s) spent in epoch: 56.04635787010193
epoch: 3	train ppl: 98.74703073308913	val ppl: 144.37408711396785	best val: 144.37408711396785	time (s) spent in epoch: 55.73475122451782
epoch: 4	train ppl: 80.65322965284403	val ppl: 142.1846532191992	best val: 142.1846532191992	time (s) spent in epoch: 55.79447960853577
epoch: 5	train ppl: 68.00428449449548	val ppl: 141.79461650526991	best val: 141.79461650526991	time (s) spent in epoch: 55.80677652359009
epoch: 6	train ppl: 57.74621696483479	val ppl: 144.08083479089177	best val: 141.79461650526991	time (s) spent in epoch: 55.89004611968994
epoch: 7	train ppl: 49.46173935391974	val ppl: 148.83440175475332	best val: 141.79461650526991	time (s) spent in epoch: 55.76349854469299
epoch: 8	train ppl: 42.5815143059982	val ppl: 157.39769523934729	best val: 141.79461650526991	time (s) spent in epoch: 55.6273877620697
epoch: 9	train ppl: 36.71478205673144	val ppl: 168.27732986808022	best val: 141.79461650526991	time (s) spent in epoch: 55.65103626251221
epoch: 10	train ppl: 31.622717001513386	val ppl: 180.60527667619516	best val: 141.79461650526991	time (s) spent in epoch: 55.560051679611206
epoch: 11	train ppl: 27.38535343449018	val ppl: 196.68025039713456	best val: 141.79461650526991	time (s) spent in epoch: 55.579625844955444
epoch: 12	train ppl: 23.78579130007367	val ppl: 216.82872871379456	best val: 141.79461650526991	time (s) spent in epoch: 55.77915549278259
epoch: 13	train ppl: 20.597891605717482	val ppl: 237.95578518402905	best val: 141.79461650526991	time (s) spent in epoch: 55.837462186813354
epoch: 14	train ppl: 17.936102339533377	val ppl: 263.01818037522264	best val: 141.79461650526991	time (s) spent in epoch: 55.952890396118164
epoch: 15	train ppl: 15.68811622133028	val ppl: 294.00299815860154	best val: 141.79461650526991	time (s) spent in epoch: 55.950172662734985
epoch: 16	train ppl: 13.672953507091128	val ppl: 336.40476367643504	best val: 141.79461650526991	time (s) spent in epoch: 55.400956869125366
epoch: 17	train ppl: 11.95976833597351	val ppl: 374.05418156459695	best val: 141.79461650526991	time (s) spent in epoch: 55.71207308769226
epoch: 18	train ppl: 10.507674840528386	val ppl: 428.64697976003646	best val: 141.79461650526991	time (s) spent in epoch: 55.75640273094177
epoch: 19	train ppl: 9.323544110513048	val ppl: 490.7630309639108	best val: 141.79461650526991	time (s) spent in epoch: 55.65477681159973
epoch: 20	train ppl: 8.323611319573542	val ppl: 578.3590800229154	best val: 141.79461650526991	time (s) spent in epoch: 55.70044946670532
epoch: 21	train ppl: 7.509358577419984	val ppl: 671.5818671049583	best val: 141.79461650526991	time (s) spent in epoch: 55.89371371269226
epoch: 22	train ppl: 6.801553658421816	val ppl: 771.0248509422205	best val: 141.79461650526991	time (s) spent in epoch: 55.704370737075806
epoch: 23	train ppl: 6.219832054065621	val ppl: 891.5664621729316	best val: 141.79461650526991	time (s) spent in epoch: 55.70660161972046
epoch: 24	train ppl: 5.759381510492466	val ppl: 1018.95222972371	best val: 141.79461650526991	time (s) spent in epoch: 55.71236491203308
epoch: 25	train ppl: 5.362114648843165	val ppl: 1178.5195743892978	best val: 141.79461650526991	time (s) spent in epoch: 55.77966356277466
epoch: 26	train ppl: 5.02116513911733	val ppl: 1379.2761186478397	best val: 141.79461650526991	time (s) spent in epoch: 55.83053731918335
epoch: 27	train ppl: 4.710262579319343	val ppl: 1574.9785761440935	best val: 141.79461650526991	time (s) spent in epoch: 55.75640606880188
epoch: 28	train ppl: 4.456292610272075	val ppl: 1814.1765899933964	best val: 141.79461650526991	time (s) spent in epoch: 55.72002410888672
epoch: 29	train ppl: 4.214220748595721	val ppl: 2041.0171623271387	best val: 141.79461650526991	time (s) spent in epoch: 55.66285943984985
epoch: 30	train ppl: 4.028644437029178	val ppl: 2294.4646909166854	best val: 141.79461650526991	time (s) spent in epoch: 55.8390166759491
epoch: 31	train ppl: 3.8391934753655903	val ppl: 2526.4496320115622	best val: 141.79461650526991	time (s) spent in epoch: 55.794419050216675
epoch: 32	train ppl: 3.6824063226162513	val ppl: 2785.5003325553125	best val: 141.79461650526991	time (s) spent in epoch: 55.765045166015625
epoch: 33	train ppl: 3.539684203905875	val ppl: 3093.934624605099	best val: 141.79461650526991	time (s) spent in epoch: 55.84625315666199
epoch: 34	train ppl: 3.4129229198483553	val ppl: 3270.1502024214246	best val: 141.79461650526991	time (s) spent in epoch: 55.81213665008545
epoch: 35	train ppl: 3.298921538852832	val ppl: 3536.4533742374	best val: 141.79461650526991	time (s) spent in epoch: 55.809011459350586
epoch: 36	train ppl: 3.180897965170682	val ppl: 3823.5851250879873	best val: 141.79461650526991	time (s) spent in epoch: 55.72304677963257
epoch: 37	train ppl: 3.0893276709375717	val ppl: 4247.169157354946	best val: 141.79461650526991	time (s) spent in epoch: 55.55792593955994
epoch: 38	train ppl: 2.9893468973576818	val ppl: 4732.635606163554	best val: 141.79461650526991	time (s) spent in epoch: 55.31565546989441
epoch: 39	train ppl: 2.913446421898765	val ppl: 5128.378987411042	best val: 141.79461650526991	time (s) spent in epoch: 55.36529755592346
