epoch: 0	train ppl: 205601.66534889353	val ppl: 748443.4546344965	best val: 748443.4546344965	time (s) spent in epoch: 56.405776500701904
epoch: 1	train ppl: 3631.4023945217823	val ppl: 1209.417157002636	best val: 1209.417157002636	time (s) spent in epoch: 56.90915012359619
epoch: 2	train ppl: 1111.1570432861438	val ppl: 1242.5340341211013	best val: 1209.417157002636	time (s) spent in epoch: 56.406493186950684
epoch: 3	train ppl: 763.3628291601922	val ppl: 542.2477127490325	best val: 542.2477127490325	time (s) spent in epoch: 56.87915825843811
epoch: 4	train ppl: 563.724290164611	val ppl: 494.73809276010843	best val: 494.73809276010843	time (s) spent in epoch: 58.99400472640991
epoch: 5	train ppl: 447.6591700479021	val ppl: 440.5773557068361	best val: 440.5773557068361	time (s) spent in epoch: 67.23988556861877
epoch: 6	train ppl: 376.16511075635555	val ppl: 386.24020267312136	best val: 386.24020267312136	time (s) spent in epoch: 66.73329973220825
epoch: 7	train ppl: 326.19422453267276	val ppl: 379.9707787618486	best val: 379.9707787618486	time (s) spent in epoch: 60.78149151802063
epoch: 8	train ppl: 283.98995237288835	val ppl: 286.644369016584	best val: 286.644369016584	time (s) spent in epoch: 57.20921969413757
epoch: 9	train ppl: 259.53067214914927	val ppl: 269.9215171210846	best val: 269.9215171210846	time (s) spent in epoch: 57.140984535217285
epoch: 10	train ppl: 222.99828496872692	val ppl: 240.8886435777564	best val: 240.8886435777564	time (s) spent in epoch: 56.64089393615723
epoch: 11	train ppl: 205.3346244625562	val ppl: 251.78386462609106	best val: 240.8886435777564	time (s) spent in epoch: 56.245646238327026
epoch: 12	train ppl: 185.09062591054123	val ppl: 221.8209023944218	best val: 221.8209023944218	time (s) spent in epoch: 56.68963265419006
epoch: 13	train ppl: 166.40403602479336	val ppl: 216.18323943543524	best val: 216.18323943543524	time (s) spent in epoch: 57.27948808670044
epoch: 14	train ppl: 150.9978691688793	val ppl: 212.5142019558812	best val: 212.5142019558812	time (s) spent in epoch: 57.24521279335022
epoch: 15	train ppl: 137.67314594884616	val ppl: 218.40238361946848	best val: 212.5142019558812	time (s) spent in epoch: 56.935359954833984
epoch: 16	train ppl: 130.01259367884765	val ppl: 188.1327513563199	best val: 188.1327513563199	time (s) spent in epoch: 56.830692291259766
epoch: 17	train ppl: 118.67752482015773	val ppl: 223.9907245789567	best val: 188.1327513563199	time (s) spent in epoch: 56.66355895996094
epoch: 18	train ppl: 113.5454471960641	val ppl: 176.64405131263905	best val: 176.64405131263905	time (s) spent in epoch: 61.79191756248474
epoch: 19	train ppl: 104.01849426627462	val ppl: 158.74984715341168	best val: 158.74984715341168	time (s) spent in epoch: 68.113765001297
epoch: 20	train ppl: 96.90127096471775	val ppl: 192.29318693105313	best val: 158.74984715341168	time (s) spent in epoch: 66.59006929397583
epoch: 21	train ppl: 92.51515517246334	val ppl: 188.06221430777921	best val: 158.74984715341168	time (s) spent in epoch: 57.72795510292053
epoch: 22	train ppl: 86.04820253534469	val ppl: 177.7527035830292	best val: 158.74984715341168	time (s) spent in epoch: 56.121063232421875
epoch: 23	train ppl: 81.63835588375596	val ppl: 187.20221328608986	best val: 158.74984715341168	time (s) spent in epoch: 56.68287467956543
epoch: 24	train ppl: 75.61462453210376	val ppl: 164.02108510104406	best val: 158.74984715341168	time (s) spent in epoch: 56.17445206642151
epoch: 25	train ppl: 68.73514231203431	val ppl: 183.89072039452662	best val: 158.74984715341168	time (s) spent in epoch: 56.33158588409424
epoch: 26	train ppl: 68.44103083340602	val ppl: 172.02880851670062	best val: 158.74984715341168	time (s) spent in epoch: 56.1909966468811
epoch: 27	train ppl: 61.98441879845087	val ppl: 187.1504188738431	best val: 158.74984715341168	time (s) spent in epoch: 56.44659757614136
epoch: 28	train ppl: 59.078529327550775	val ppl: 176.97929561382088	best val: 158.74984715341168	time (s) spent in epoch: 56.72177243232727
epoch: 29	train ppl: 54.17396737494213	val ppl: 245.810376381984	best val: 158.74984715341168	time (s) spent in epoch: 56.8629937171936
epoch: 30	train ppl: 51.838370005614856	val ppl: 212.39680018312617	best val: 158.74984715341168	time (s) spent in epoch: 56.6525444984436
epoch: 31	train ppl: 47.97381133515877	val ppl: 206.84143442670347	best val: 158.74984715341168	time (s) spent in epoch: 56.5154824256897
epoch: 32	train ppl: 44.722318222047	val ppl: 244.74712727969444	best val: 158.74984715341168	time (s) spent in epoch: 63.29728579521179
epoch: 33	train ppl: 42.318918918009274	val ppl: 222.00017315723323	best val: 158.74984715341168	time (s) spent in epoch: 66.39146900177002
epoch: 34	train ppl: 40.048059299124844	val ppl: 228.7030951704313	best val: 158.74984715341168	time (s) spent in epoch: 65.25454068183899
epoch: 35	train ppl: 37.350260818255684	val ppl: 286.0444310814611	best val: 158.74984715341168	time (s) spent in epoch: 56.649409532547
epoch: 36	train ppl: 35.07545605564083	val ppl: 248.87008844798598	best val: 158.74984715341168	time (s) spent in epoch: 56.318474769592285
epoch: 37	train ppl: 33.20461621649766	val ppl: 313.63194405294655	best val: 158.74984715341168	time (s) spent in epoch: 56.63870406150818
epoch: 38	train ppl: 30.148823293666666	val ppl: 261.06798729952516	best val: 158.74984715341168	time (s) spent in epoch: 56.64032316207886
epoch: 39	train ppl: 29.39825916371607	val ppl: 294.5494463174165	best val: 158.74984715341168	time (s) spent in epoch: 56.64112067222595
